Spcies,Vigna Umb,Vigna rad,Score
0,185000000,533316061,9
0,94000000,377019252,8.9
0,160000000,292568851,8.8
0,93000000,313837577,8.8
0,63000000,37023395,8.8
0,55000000,329691196,8.8
0,94000000,340478898,8.7
0,63000000,171383253,8.7
0,165000000,187991439,8.6
0,70000000,216119491,8.6
0,250000000,448130642,8.5
0,103000000,187670866,8.5
0,102000000,204843350,8.5
0,100000000,162804648,8.5
0,90000000,132373442,8.5
0,45000000,422783777,8.5
0,60000000,136801374,8.5
0,180000000,223806889,8.4
0,72000000,75600000,8.4
0,200000000,414984497,8.3
0,175000000,292979556,8.3
0,175000000,356454367,8.3
0,150000000,205343774,8.3
0,75000000,120523073,8.3
0,250000000,407197282,8.2
0,165000000,217387997,8.2
0,100000000,116866727,8.2
0,94000000,380838870,8.2
0,58000000,170708996,8.2
0,52000000,42438300,8.2
0,54000000,70496802,8.2
0,220000000,623279547,8.1
0,170000000,333130696,8.1
0,150000000,153629485,8.1
0,135000000,183635922,8.1
0,110000000,227137090,8.1
0,140000000,305388685,8.1
0,115000000,289907418,8.1
0,108000000,228430993,8.1
0,80000000,127968405,8.1
0,63000000,356784000,8.1
0,61000000,167735396,8.1
0,60000000,125603360,8.1
0,58000000,363024263,8.1
0,30000000,70098138,8.1
0,200000000,233914986,8
0,150000000,206435493,8
0,150000000,257704099,8
0,120000000,124976634,8
0,150000000,167007184,8
0,100000000,57366262,8
0,92000000,261437578,8
0,88000000,61644321,8
0,70000000,66257002,8
0,55000000,162586036,8
0,30000000,66207920,8
0,52000000,164435221,8
0,237000000,760505847,7.9
0,225000000,258355354,7.9
0,140000000,318298180,7.9
0,178000000,100189501,7.9
0,165000000,222487711,7.9
0,145000000,176997107,7.9
0,90000000,245823397,7.9
0,76000000,35286428,7.9
0,68000000,28965197,7.9
0,44000000,54116191,7.9
0,60000000,121468960,7.9
0,60000000,32522352,7.9
0,55000000,107100855,7.9
0,60000000,267652016,7.9
0,260000000,200807262,7.8
0,200000000,304360277,7.8
0,190000000,228756232,7.8
0,175000000,362645141,7.8
0,170000000,259746958,7.8
0,165000000,189412677,7.8
0,150000000,127490802,7.8
0,160000000,146405371,7.8
0,130000000,249358727,7.8
0,100000000,274084951,7.8
0,100000000,130127620,7.8
0,90000000,102515793,7.8
0,75000000,176049130,7.8
0,85000000,183405771,7.8
0,40000000,19406406,7.8
0,81200000,1339152,7.8
0,60000000,257756197,7.8
0,55000000,35707327,7.8
0,50000000,48265581,7.8
0,200000000,658672302,7.7
0,140000000,111110575,7.7
0,130000000,107503316,7.7
0,102000000,132014112,7.7
0,92000000,108638745,7.7
